Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 2, 'cpu': 6.4, 'memory': 38.6, 'switches': {6: 0, 1: 1, 3: 0, 8: 0, 2: 1, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 6.2, 'memory': 38.6, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 5.8, 'memory': 38.6, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 5.3, 'memory': 38.6, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 5.4, 'memory': 38.6, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 5.5, 'memory': 38.6, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 15, 'cpu': 6.7, 'memory': 38.6, 'switches': {6: 2, 1: 1, 3: 2, 8: 2, 2: 1, 7: 1, 9: 2, 4: 2, 5: 2}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 6.7, 'memory': 38.6, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 7.1, 'memory': 38.8, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 68, 'cpu': 5.8, 'memory': 38.8, 'switches': {6: 8, 1: 7, 3: 7, 8: 8, 2: 8, 7: 8, 9: 8, 4: 7, 5: 7}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 5.6, 'memory': 38.8, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 5.2, 'memory': 38.8, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 28, 'cpu': 13.7, 'memory': 39.3, 'switches': {6: 3, 1: 3, 3: 3, 8: 3, 2: 3, 7: 4, 9: 2, 4: 4, 5: 3}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 13.8, 'memory': 39.3, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 15.9, 'memory': 39.3, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
